Date,GOOGL,EBAY,FB,YHOO,WU,VRSN,NFLX,TSS,FIS,ADP,VALUE
2015/7/2,547.340027,26.031144,87.290001,39.380001,18.51197,62.869999,94.044289,41.692578,61.616933,79.33543,1058.112372
2015/7/6,545.619995,25.993264,87.550003,38.610001,18.472978,62.779999,94.571426,41.791963,61.765123,79.33543,1056.490182
2015/7/7,550.030029,26.085859,87.220001,38.23,18.619202,63.099998,94.091431,41.901288,61.94295,79.57099,1060.791748
2015/7/8,541.700012,25.669191,85.650002,37.23,18.375495,61.5,93.507141,41.265216,60.836474,78.550219,1044.28375
2015/7/9,544.650024,25.997474,85.879997,37.610001,18.433984,62.209999,95.727142,41.483868,61.577419,79.198019,1052.767927
2015/7/10,556.109985,26.249999,87.949997,37.919998,18.550964,63.189999,97.228569,42.080184,62.802445,80.012666,1072.094806
2015/7/13,571.72998,26.712962,90.099998,38.759998,18.609453,64.059998,101.087143,42.437976,63.247008,80.21879,1096.963306
2015/7/14,584.179993,26.763467,89.68,38.630001,18.687439,64.190002,100.371429,42.855397,63.385325,80.375828,1109.118881
2015/7/15,583.960022,26.700336,89.760002,38.380001,18.482725,64.300003,98.129997,42.924967,63.375443,80.974549,1106.988045
2015/7/16,601.780029,27.605218,90.849998,38.91,18.784922,64.949997,115.809998,43.580917,63.721216,81.367154,1147.359449
2015/7/17,699.619995,27.899831,94.970001,39.68,18.716685,65.019997,114.769997,43.700183,63.316163,80.866582,1248.559434
2015/7/20,692.840027,28.57,97.910004,39.540001,18.716685,65.529999,110.550003,44.445581,63.484116,80.650649,1242.237065
2015/7/21,695.349976,28.6,98.389999,39.73,18.619202,65.080002,112.510002,45.002142,63.029667,79.904707,1246.215697
2015/7/22,695.099976,28.450001,97.040001,39.240002,18.62895,65.849998,111.5,44.684106,63.355681,80.179529,1244.028244
2015/7/23,674.72998,28.43,95.440002,39.209999,18.424235,66.019997,110.099998,44.236866,61.8244,79.443396,1217.858873
2015/7/24,654.77002,28.23,96.949997,38.849998,18.180529,67.730003,109.339996,44.445581,61.883673,78.304842,1198.684639
2015/7/27,658.27002,28,94.169998,37.84,17.89783,67.93,106.43,43.670364,61.379833,78.245953,1193.833998
2015/7/28,659.659973,28.33,95.290001,37.720001,18.17078,69.970001,106.900002,44.50521,61.666328,79.090052,1201.302348
2015/7/29,661.429993,28.75,96.989998,37.669998,18.560712,70.540001,107.080002,46.542633,62.476431,80.817504,1210.857272
2015/7/30,664.559998,28.370001,95.209999,37.419998,18.541215,71.029999,111.559998,45.956254,65.054914,78.648368,1216.350744
2015/7/31,657.5,28.120001,94.010002,36.669998,19.730504,70.940002,114.309998,45.936376,64.639987,78.295024,1210.151892
2015/8/3,664.719971,28.33,94.139999,36.689999,19.711007,70.629997,112.559998,46.254412,64.69926,78.628742,1216.363385
2015/8/4,661.280029,28.41,94.059998,37.119999,19.662267,70.879997,121.150002,46.781159,64.491797,79.188202,1223.02345
2015/8/5,673.289978,28.559999,96.440002,37.25,19.818239,71.07,123.709999,47.248276,64.946242,80.326749,1242.659484
2015/8/6,670.150024,28.16,95.120003,36.459999,19.857233,70.620003,126.449997,46.433308,63.899043,78.815231,1235.964841
2015/8/7,664.390015,28.549999,94.300003,36.669998,19.886476,70.900002,123.519997,46.661896,63.987953,78.805414,1227.671753
2015/8/10,663.140015,28.66,94.150002,37.150002,20.0327,71.370003,123.029999,47.06938,64.728897,80.091189,1229.422187
2015/8/11,690.299988,28.139999,93.620003,36.029999,19.886476,70.860001,122.739998,46.781159,64.284333,79.826185,1252.468141
2015/8/12,691.469971,28.01,94.190002,34.490002,19.905973,70.720001,120.510002,46.969991,69.895752,80.042118,1256.203812
2015/8/13,686.51001,27.99,93.43,35.93,19.866979,70.620003,123.730003,47.178705,69.31288,80.925471,1255.494051
2015/8/14,689.369995,28.26,94.419998,36.240002,19.837736,71.089996,123.389999,47.844592,69.421545,81.455487,1261.32935
2015/8/17,694.109985,28.290001,93.93,36.099998,19.905973,71.190002,125.360001,47.93404,70.587297,83.133867,1270.541164
2015/8/18,688.72998,27.77,95.169998,35.689999,19.866979,70.93,124.050003,48.341524,70.854042,83.124058,1264.526583
2015/8/19,694.039978,27.43,95.309998,35.189999,19.447805,70.580002,122.059998,48.023488,70.992351,82.908124,1265.981743
2015/8/20,679.47998,26.52,90.559998,34.099998,18.999384,69.150002,112.489998,47.178705,70.448988,81.180665,1230.107718
2015/8/21,644.030029,25.77,86.059998,32.93,18.268263,67.809998,103.959999,45.389748,68.483018,77.765016,1170.466069
2015/8/24,618.109985,24.93,82.089996,31.309999,17.342178,65.940002,96.879997,43.113803,65.173468,74.869558,1119.758986
2015/8/25,612.469971,25.23,83,31.74,17.361674,65.919998,101.519997,42.368406,64.580714,72.160589,1116.351349
2015/8/26,659.73999,26.17,87.190002,32.52,17.839339,68.080002,110.129997,44.43564,68.611446,76.361457,1191.077873
2015/8/27,667.960022,27.1,89.730003,33.689999,18.122039,69.849998,117.660004,45.737603,69.441307,76.5872,1215.878175
2015/8/28,659.690002,27.25,91.010002,33.139999,18.092794,69.550003,117.629997,46.075516,69.431426,76.960178,1208.829917
2015/8/31,647.820007,27.110001,89.43,32.240002,17.975816,68.940002,115.029999,45.54877,68.226155,75.890329,1188.211081
2015/9/1,629.559998,26.48,87.230003,31.6,17.273939,66.559998,105.790001,44.067911,66.270066,73.711376,1148.543292
2015/9/2,644.909973,26.870001,89.889999,31.77,17.595632,68.040001,105.440002,44.952449,67.020885,75.664578,1172.15352
2015/9/3,637.049988,27.040001,88.150002,32.540001,18.005059,68.230003,101.059998,45.340056,67.327147,76.116079,1160.858334
2015/9/4,628.960022,26.48,88.260002,31.58,17.790598,67.129997,98.790001,44.604599,66.250304,74.741964,1144.587487
2015/9/8,643.880005,26.360001,89.529999,30.9,18.141536,68.230003,94.949997,45.996005,68.522536,76.754054,1163.264136
2015/9/9,643.409973,26.200001,90.440002,31.52,17.771101,68.099998,99.18,45.518951,67.109802,76.556517,1165.806345
2015/9/10,651.080017,26.15,91.980003,31.15,17.94657,68.790001,99.480003,45.966191,67.890264,76.96147,1177.394519
2015/9/11,655.299988,26.32,92.050003,31.43,17.849087,69.160004,97.510002,46.373675,68.779399,77.346671,1182.118829
2015/9/14,652.469971,25.75,92.309998,30.32,17.814678,69.220001,95.690002,46.41343,68.164584,76.803442,1174.956106
2015/9/15,665.070007,25.98,92.900002,31.040001,18.345578,70.160004,99.160004,47.299869,69.28513,77.919538,1197.160133
2015/9/16,665.52002,26.74,93.449997,31.4,18.62086,70.610001,104.080002,47.419387,69.344625,78.610924,1205.795816
2015/9/17,671.669983,26.27,94.339996,30.93,18.56187,70.489998,104.209999,47.289907,68.719901,78.452897,1210.934551
2015/9/18,660.919983,26.02,94.400002,30.74,18.266926,69.949997,102.620003,46.124593,67.609274,78.038065,1194.688843
2015/9/21,666.97998,25.92,95.550003,31.17,18.453725,71.099998,100.300003,46.96123,68.997556,78.917116,1204.349611
2015/9/22,653.200012,25.610001,92.959999,30.4,18.188274,69.889999,98.470001,46.463232,67.639022,78.215851,1181.036391
2015/9/23,653.289978,25.59,93.970001,29.74,18.148947,70.25,98.07,46.56283,68.670317,78.393637,1182.68571
2015/9/24,654.909973,25.610001,94.410004,29.34,17.942487,69.599998,103.760002,46.56283,67.728272,78.601053,1188.46462
2015/9/25,640.150024,25.33,92.769997,29.129999,17.90316,69.309998,102.239998,46.333751,67.64894,79.312197,1170.128064
2015/9/28,624.25,24.139999,89.209999,27.6,17.549227,67.639999,99.470001,44.590757,65.298776,77.652863,1137.401621
2015/9/29,622.609985,24.08,86.669998,28.26,17.795014,68.190002,98.349998,44.720238,65.943337,78.117075,1134.735647
2015/9/30,638.369995,24.440001,89.900002,28.91,18.050634,70.559998,103.260002,45.248115,66.518483,79.371456,1164.628686
2015/10/1,642,24.91,90.949997,28.91,17.90316,71.419998,105.980003,45.636553,67.014298,79.894936,1174.618945
2015/10/2,656.98999,25.530001,92.07,30.709999,18.237431,73.309998,106.110001,46.024991,67.777849,80.359155,1197.119415
2015/10/5,671.679993,25.74,94.010002,30.85,18.42423,74.879997,111.25,46.40347,68.749649,81.682667,1223.670008
2015/10/6,671.640015,25.68,92.800003,30.959999,18.296421,73.269997,108.330002,46.174392,68.858729,81.425871,1217.435429
2015/10/7,670,25.68,92.400002,31.870001,18.483218,74.540001,108.099998,46.881548,69.552866,82.620986,1220.12862
2015/10/8,667,24.15,92.470001,32.369999,18.87648,74.709999,114.93,47.459228,70.70316,84.072904,1226.741771
2015/10/9,671.23999,24.299999,93.239998,32.52,18.807658,75.07,113.330002,48.007025,69.909853,84.191423,1230.615948
2015/10/12,676.429993,24.559999,94.260002,32.860001,18.817489,75.300003,113.449997,48.773943,70.227174,84.626012,1239.304613
2015/10/13,683.169983,24.620001,94.120003,32.34,18.62086,74.57,109.730003,48.475141,69.255374,84.112413,1239.013778
2015/10/14,680.409973,24,94.07,32.09,18.394735,74.330002,110.230003,47.827745,68.799226,84.092654,1234.244338
2015/10/15,693.02002,24.51,95.959999,33.48,18.62086,74.660004,101.089996,48.246062,69.225627,84.912446,1243.725014
2015/10/16,695.320007,24.549999,97.540001,33.369999,18.758501,74.669998,98.989998,48.803821,69.761107,85.62359,1247.387021
2015/10/19,699.950012,24.559999,98.470001,33.5,18.758501,75.5,101.690002,49.61058,70.018933,86.226087,1258.284115
2015/10/20,680,24.42,97,32.830002,18.709344,75.790001,98.989998,49.281899,70.048681,86.344606,1233.414531
2015/10/21,671.799988,24.209999,97.110001,31.120001,18.748669,74.459999,97.959999,48.74406,69.146302,86.374236,1219.673254
2015/10/22,681.140015,27.58,99.669998,31.67,19.328728,75.410004,97.32,50.118536,69.979267,88.586686,1240.803234
2015/10/23,719.330017,28.16,102.190002,33.169998,19.427043,80.18,100.040001,51.014935,70.633746,89.416349,1293.562091
2015/10/26,731.119995,28.17,103.769997,33.400002,19.309064,80.470001,103.040001,50.985052,70.742818,89.001517,1310.008447
2015/10/27,732.820007,28.370001,103.699997,34.299999,18.905973,79.830002,103.07,51.443213,70.395749,89.218812,1312.053753
2015/10/28,736.919983,28.25,104.199997,35.189999,19.259908,80.900002,105.800003,54.500922,72.180685,86.828584,1324.030083
2015/10/29,744.849976,28.18,104.879997,35.049999,18.689681,80.739998,105.120003,53.973041,72.1311,87.273045,1330.88684
2015/10/30,737.390015,27.9,101.970001,35.619999,18.925636,80.599998,108.379997,52.24001,72.309594,85.919895,1321.255145
2015/11/2,747.73999,28.5,103.309998,35.27,19.073109,81.720001,107.639999,52.528849,72.884741,85.919895,1334.586582
2015/11/3,748.820007,28.9,102.580002,34.720001,19.102604,80.93,109.739998,52.299767,63.930331,85.663099,1326.685809
2015/11/4,755.309998,29.299999,103.940002,35.07,18.9453,81.279999,114.050003,52.319687,64.991374,85.890265,1341.096627
2015/11/5,760.669983,29.299999,108.760002,35.119999,19.240244,81.300003,113.5,52.220089,65.626016,85.910024,1351.646359
2015/11/6,761.599976,29.4,107.099998,34.200001,19.525359,82.510002,114.059998,52.449168,66.627563,86.552022,1354.024087
2015/11/9,754.77002,29.18,106.489998,33.68,19.102604,81.239998,109.860001,51.86153,65.794591,85.692729,1337.671471
2015/11/10,758.26001,29.139999,107.910004,33.990002,19.08294,81.720001,112.699997,53.136404,65.953255,85.880386,1347.772998
2015/11/11,765.25,28.950001,109.010002,33.380001,18.955132,82.529999,112.860001,53.345566,66.518483,86.10756,1356.906745
2015/11/12,756.530029,28.559999,108.019997,33.23,18.473388,82.25,108.919998,52.857526,65.754925,85.159371,1339.755233
2015/11/13,740.070007,28.190001,103.949997,32.189999,18.237431,81.559998,103.650002,52.678247,64.555054,84.003765,1309.084501
2015/11/16,750.419983,28.48,104.040001,32.950001,18.414398,83.370003,111.349998,52.658326,64.951708,85.455676,1332.090094
2015/11/17,745.97998,28.450001,105.129997,32.860001,18.699512,83.919998,117.099998,53.365487,65.060787,84.833428,1335.399189
2015/11/18,760.01001,28.75,107.769997,32.98,19.171424,86.269997,120.629997,54.142363,65.56652,85.435925,1360.726233
2015/11/19,759.940002,28.77,106.260002,32.630001,18.758501,86.599998,120.220001,54.261881,65.526854,85.327278,1358.294518
2015/11/20,777,29.059999,107.32,33.110001,18.738837,90.300003,123.839996,54.869439,65.854094,86.216208,1386.308577
2015/11/23,776.700012,28.84,106.949997,33.360001,18.62086,90.18,125.029999,55.496918,65.001292,86.275467,1386.454546
2015/11/24,769.630005,29,105.739998,32.959999,18.502882,88.540001,123.309998,55.128397,64.237733,85.643341,1372.692354
2015/11/25,769.26001,29,105.410004,33.16,18.483218,89.389999,124.160004,55.407278,63.989826,85.347036,1373.607375
2015/11/27,771.969971,29.1,105.449997,32.939999,18.463557,89.300003,125.440002,55.706076,64.178238,85.62359,1378.171433
2015/11/30,762.849976,29.59,104.239998,33.810001,18.542209,89.440002,123.330002,55.735955,63.137024,85.198879,1365.874046
2015/12/1,783.789978,29.049999,107.120003,33.709999,18.87648,90.900002,125.370003,56.144314,63.95016,86.482883,1395.393821
2015/12/2,777.849976,28.969999,106.07,35.650002,18.611029,89.510002,128.929993,55.755876,64.436064,85.840885,1391.623826
2015/12/3,768.200012,28.59,104.379997,34.34,18.35541,92.040001,126.809998,54.949117,63.533678,84.211181,1375.409394
2015/12/4,779.210022,29.35,106.18,34.91,18.601197,93.120003,130.929993,56.004875,64.495559,86.354485,1399.156134
2015/12/7,772.98999,29.049999,105.610001,34.68,18.699512,92.489998,125.360001,55.616437,62.978364,85.534693,1383.008995
2015/12/8,775.140015,28.790001,106.489998,34.849998,18.601197,92.57,126.980003,55.915235,62.522215,85.258139,1387.116801
2015/12/9,762.549988,28.34,104.599998,34.400002,18.55204,91.279999,124.199997,55.078598,62.918869,84.423346,1366.342837
2015/12/10,760.039978,28.57,105.419998,34.630001,18.581534,90.870003,122.910004,55.865436,62.35364,84.930187,1364.170781
2015/12/11,750.419983,27.969999,102.120003,32.91,17.971982,89.040001,118.910004,53.524846,60.687703,82.813394,1336.367915
2015/12/14,762.539978,28.040001,104.660004,32.59,17.834339,88.860001,120.669998,54.670239,60.856997,84.075518,1354.797075
2015/12/15,760.090027,28.309999,104.550003,33.029999,17.928545,89.970001,118.599998,55.618164,61.364884,84.940127,1354.401747
2015/12/16,776.590027,28.57,106.790001,33.779999,18.364859,90.010002,122.639999,55.757857,61.773186,85.665597,1379.941527
2015/12/17,769.830017,28.049999,106.220001,33.23,17.978125,87.849998,122.510002,52.674611,59.63209,84.284215,1362.259058
2015/12/18,756.849976,27.459999,104.040001,32.950001,17.650889,86.440002,118.019997,50.8985,58.27772,82.763701,1335.350786
2015/12/21,760.799988,27.59,104.769997,32.970001,17.859131,86.809998,116.629997,51.217804,58.915069,83.61837,1341.180355
2015/12/22,767.130005,27.889999,105.510002,34.189999,18.107037,87.57,116.239998,50.58918,59.602211,84.333908,1351.162339
2015/12/23,768.51001,27.780001,104.629997,34.450001,18.354943,87.800003,118.160004,50.838633,60.936664,85.198517,1356.658773
2015/12/24,765.840027,27.66,105.019997,34.110001,18.345026,87.779999,117.330002,50.84861,60.856997,85.407214,1353.197873
2015/12/28,782.23999,27.639999,105.93,33.599998,18.087204,87.889999,117.110001,50.63907,60.747452,85.21839,1369.102103
2015/12/29,793.960022,27.91,107.260002,34.040001,18.275613,88.739998,119.120003,50.888523,61.335009,86.301628,1387.830799
