Date,VXST_9d,VIX_30d,VXV_3m,VXM_6m
2015/1/1,18.95 ,19.20 ,19.74 ,20.42 
2015/1/2,16.47 ,17.79 ,19.46 ,20.24 
2015/1/5,19.45 ,19.92 ,20.79 ,21.40 
2015/1/6,20.53 ,21.12 ,21.42 ,21.73 
2015/1/7,17.59 ,19.31 ,20.08 ,20.92 
2015/1/8,15.04 ,17.01 ,18.66 ,19.56 
2015/1/9,15.20 ,17.55 ,19.32 ,20.16 
2015/1/12,18.20 ,19.60 ,20.48 ,20.92 
2015/1/13,19.63 ,20.56 ,21.27 ,21.32 
2015/1/14,21.23 ,21.48 ,20.93 ,21.48 
2015/1/15,23.73 ,22.39 ,22.11 ,22.03 
2015/1/16,21.48 ,20.95 ,21.15 ,21.59 
2015/1/19,21.48 ,20.95 ,21.15 ,21.59 
2015/1/20,21.94 ,19.89 ,20.87 ,21.09 
2015/1/21,20.36 ,18.85 ,20.04 ,20.72 
2015/1/22,15.58 ,16.40 ,18.60 ,19.54 
2015/1/23,16.08 ,16.66 ,19.00 ,19.82 
2015/1/26,14.89 ,15.52 ,18.03 ,19.36 
2015/1/27,17.56 ,17.22 ,19.11 ,20.07 
2015/1/28,21.78 ,20.44 ,21.44 ,21.82 
2015/1/29,18.78 ,18.76 ,20.00 ,20.66 
2015/1/30,21.17 ,20.97 ,21.82 ,21.87 
2015/2/2,19.39 ,19.43 ,20.91 ,21.21 
2015/2/3,16.54 ,17.33 ,19.49 ,20.37 
2015/2/4,17.48 ,18.33 ,20.43 ,20.95 
2015/2/5,15.31 ,16.85 ,19.27 ,20.31 
2015/2/6,14.93 ,17.29 ,19.88 ,20.87 
2015/2/9,16.88 ,18.55 ,20.67 ,21.45 
2015/2/10,15.20 ,17.23 ,19.73 ,20.71 
2015/2/11,14.28 ,16.96 ,19.71 ,20.65 
2015/2/12,12.36 ,15.34 ,18.34 ,19.79 
2015/2/13,11.76 ,14.69 ,18.13 ,19.43 
2015/2/16,11.76 ,14.69 ,18.13 ,19.43 
2015/2/17,13.55 ,15.80 ,18.38 ,19.62 
2015/2/18,12.40 ,15.45 ,18.66 ,19.67 
2015/2/19,12.34 ,15.29 ,18.01 ,19.62 
2015/2/20,11.74 ,14.30 ,17.29 ,19.11 
2015/2/23,12.16 ,14.56 ,17.54 ,19.04 
2015/2/24,10.94 ,13.69 ,16.71 ,18.39 
2015/2/25,11.64 ,13.84 ,16.87 ,18.42 
2015/2/26,11.38 ,13.91 ,16.85 ,18.47 
2015/2/27,10.60 ,13.34 ,16.89 ,18.41 
2015/3/2,10.85 ,13.04 ,16.46 ,18.00 
2015/3/3,11.81 ,13.86 ,16.78 ,18.28 
2015/3/4,12.28 ,14.23 ,16.91 ,18.39 
2015/3/5,12.16 ,14.04 ,16.64 ,18.13 
2015/3/6,14.31 ,15.20 ,17.51 ,18.70 
2015/3/9,14.20 ,15.06 ,17.31 ,18.57 
2015/3/10,16.72 ,16.69 ,18.26 ,19.43 
2015/3/11,16.78 ,16.87 ,18.53 ,19.67 
2015/3/12,15.04 ,15.42 ,17.39 ,18.71 
2015/3/13,15.25 ,16.00 ,17.89 ,19.16 
2015/3/16,16.15 ,15.61 ,17.40 ,18.66 
2015/3/17,16.72 ,15.66 ,17.48 ,18.80 
