Date,VXST_9d,VIX_30d,VXV_3m,VXM_6m
2012/1/2,19.36 ,23.40 ,26.86 ,28.34 
2012/1/3,20.63 ,22.97 ,26.05 ,28.26 
2012/1/4,19.32 ,22.22 ,25.31 ,27.67 
2012/1/5,18.25 ,21.48 ,24.70 ,27.20 
2012/1/6,17.01 ,20.63 ,24.09 ,26.73 
2012/1/9,17.61 ,21.07 ,24.12 ,26.57 
2012/1/10,17.48 ,20.69 ,23.68 ,26.10 
2012/1/11,17.12 ,21.05 ,24.11 ,26.45 
2012/1/12,16.65 ,20.47 ,24.04 ,26.44 
2012/1/13,17.69 ,20.91 ,24.67 ,26.98 
2012/1/16,17.69 ,20.91 ,24.67 ,26.98 
2012/1/17,22.07 ,22.20 ,25.00 ,27.51 
2012/1/18,20.67 ,20.89 ,24.18 ,26.57 
2012/1/19,17.41 ,19.87 ,23.65 ,26.02 
2012/1/20,16.12 ,18.28 ,22.82 ,25.42 
2012/1/23,18.12 ,18.67 ,22.32 ,25.07 
2012/1/24,18.08 ,18.91 ,22.03 ,24.85 
2012/1/25,17.36 ,18.31 ,21.36 ,24.06 
2012/1/26,16.40 ,18.57 ,21.68 ,24.25 
2012/1/27,16.63 ,18.53 ,21.40 ,24.13 
2012/1/30,18.47 ,19.40 ,21.92 ,24.49 
2012/1/31,18.44 ,19.44 ,22.09 ,24.60 
2012/2/1,16.87 ,18.55 ,21.54 ,24.37 
2012/2/2,15.78 ,17.98 ,21.01 ,23.89 
2012/2/3,15.34 ,17.10 ,20.05 ,23.00 
2012/2/6,16.64 ,17.76 ,20.39 ,23.11 
2012/2/7,16.11 ,17.65 ,20.14 ,22.85 
2012/2/8,16.33 ,18.16 ,20.68 ,23.14 
2012/2/9,16.56 ,18.63 ,21.34 ,23.77 
2012/2/10,19.66 ,20.79 ,23.28 ,25.17 
2012/2/13,18.45 ,19.04 ,22.12 ,24.47 
2012/2/14,19.23 ,19.54 ,22.82 ,25.22 
2012/2/15,21.26 ,21.14 ,24.12 ,26.17 
2012/2/16,17.12 ,19.22 ,23.17 ,25.33 
2012/2/17,16.23 ,17.78 ,22.39 ,24.92 
2012/2/20,16.23 ,17.78 ,22.39 ,24.92 
2012/2/21,17.44 ,18.19 ,22.35 ,25.14 
2012/2/22,17.09 ,18.19 ,22.09 ,25.01 
2012/2/23,14.83 ,16.80 ,20.78 ,24.02 
2012/2/24,15.09 ,17.31 ,21.18 ,24.30 
2012/2/27,16.94 ,18.19 ,21.87 ,24.66 
2012/2/28,16.57 ,17.96 ,21.60 ,24.53 
2012/2/29,16.85 ,18.43 ,21.80 ,24.43 
2012/3/1,15.06 ,17.26 ,21.03 ,23.92 
2012/3/2,14.44 ,17.29 ,21.26 ,24.12 
2012/3/5,15.98 ,18.05 ,21.99 ,24.62 
2012/3/6,20.10 ,20.87 ,23.90 ,26.16 
