Date,VXST_9d,VIX_30d,VXV_3m,VXM_6m
2014/1/1,13.75 ,13.72 ,14.77 ,16.31 
2014/1/2,13.83 ,14.23 ,15.26 ,16.74 
2014/1/3,12.17 ,13.76 ,15.09 ,16.68 
2014/1/6,12.51 ,13.55 ,14.82 ,16.46 
2014/1/7,11.57 ,12.92 ,14.41 ,15.98 
2014/1/8,11.62 ,12.87 ,14.29 ,15.94 
2014/1/9,11.75 ,12.89 ,14.29 ,16.12 
2014/1/10,9.97 ,12.14 ,13.94 ,15.70 
2014/1/13,13.09 ,13.28 ,14.98 ,16.42 
2014/1/14,11.31 ,12.28 ,14.49 ,16.14 
2014/1/15,10.64 ,12.28 ,14.46 ,16.10 
2014/1/16,11.09 ,12.53 ,14.69 ,16.35 
2014/1/17,11.46 ,12.44 ,14.63 ,16.34 
2014/1/20,11.46 ,12.44 ,14.63 ,16.34 
2014/1/21,12.46 ,12.87 ,14.62 ,16.22 
2014/1/22,12.30 ,12.84 ,14.47 ,16.14 
2014/1/23,14.21 ,13.77 ,14.98 ,16.37 
2014/1/24,20.84 ,18.14 ,17.40 ,18.18 
2014/1/27,19.04 ,17.42 ,17.13 ,18.00 
2014/1/28,17.29 ,15.80 ,16.20 ,17.28 
2014/1/29,19.40 ,17.35 ,17.24 ,18.00 
2014/1/30,17.95 ,17.29 ,17.37 ,18.03 
2014/1/31,19.32 ,18.41 ,18.09 ,18.63 
2014/2/3,23.95 ,21.44 ,20.14 ,20.14 
2014/2/4,20.37 ,19.11 ,19.08 ,19.53 
2014/2/5,21.30 ,19.95 ,19.67 ,20.04 
2014/2/6,18.67 ,17.23 ,17.79 ,18.69 
2014/2/7,14.51 ,15.29 ,16.34 ,17.55 
2014/2/10,14.22 ,15.26 ,16.32 ,17.44 
2014/2/11,13.04 ,14.51 ,15.75 ,17.02 
2014/2/12,12.67 ,14.30 ,15.65 ,16.95 
2014/2/13,12.06 ,14.14 ,15.50 ,16.85 
2014/2/14,10.84 ,13.57 ,15.17 ,16.55 
2014/2/17,10.84 ,13.57 ,15.17 ,16.55 
2014/2/18,12.18 ,13.87 ,15.22 ,16.54 
2014/2/19,13.90 ,15.50 ,16.29 ,17.24 
2014/2/20,13.25 ,14.79 ,15.72 ,16.84 
2014/2/21,13.04 ,14.68 ,15.64 ,16.73 
2014/2/24,13.55 ,14.23 ,15.50 ,16.59 
2014/2/25,12.86 ,13.67 ,15.50 ,16.64 
2014/2/26,13.27 ,14.35 ,15.91 ,16.97 
2014/2/27,12.42 ,14.04 ,15.63 ,16.72 
2014/2/28,13.03 ,14.00 ,15.80 ,16.86 
2014/3/3,16.21 ,16.00 ,16.92 ,17.63 
2014/3/4,13.22 ,14.10 ,15.69 ,16.82 
2014/3/5,12.49 ,13.89 ,15.77 ,16.93 
2014/3/6,13.08 ,14.21 ,15.83 ,16.99 
2014/3/7,12.74 ,14.11 ,15.87 ,17.08 
2014/3/10,13.14 ,14.20 ,15.97 ,17.05 
2014/3/11,14.13 ,14.80 ,16.35 ,17.35 
2014/3/12,13.85 ,14.47 ,16.08 ,17.19 
2014/3/13,17.21 ,16.22 ,17.13 ,18.06 
2014/3/14,20.64 ,17.82 ,17.93 ,18.60 
2014/3/17,15.87 ,15.64 ,16.69 ,17.64 
2014/3/18,14.23 ,14.52 ,16.15 ,17.28 
2014/3/19,15.00 ,15.12 ,16.38 ,17.55 
2014/3/20,14.22 ,14.52 ,15.86 ,17.00 
2014/3/21,14.70 ,15.00 ,16.18 ,17.28 
2014/3/24,15.30 ,15.09 ,16.10 ,17.27 
2014/3/25,13.87 ,14.02 ,15.53 ,16.93 
2014/3/26,15.56 ,14.93 ,16.08 ,17.35 
2014/3/27,15.17 ,14.62 ,15.87 ,17.22 
2014/3/28,14.41 ,14.41 ,15.46 ,16.89 
2014/3/31,13.75 ,13.88 ,15.08 ,16.57 
2014/4/1,12.29 ,13.10 ,14.40 ,16.07 
2014/4/2,12.13 ,13.09 ,14.45 ,16.11 
2014/4/3,12.53 ,13.37 ,14.50 ,16.13 
2014/4/4,13.18 ,13.96 ,14.96 ,16.50 
2014/4/7,16.08 ,15.57 ,15.90 ,17.18 
2014/4/8,14.51 ,14.89 ,15.53 ,16.90 
2014/4/9,12.69 ,13.82 ,14.83 ,16.36 
2014/4/10,16.50 ,15.89 ,16.07 ,17.27 
2014/4/11,17.64 ,17.03 ,16.79 ,17.69 
2014/4/14,16.00 ,16.11 ,16.34 ,17.47 
2014/4/15,15.03 ,15.61 ,15.99 ,17.22 
2014/4/16,13.52 ,14.18 ,15.23 ,16.83 
2014/4/17,11.68 ,13.36 ,14.84 ,16.62 
2014/4/18,11.68 ,13.36 ,14.84 ,16.62 
2014/4/21,12.99 ,13.25 ,14.75 ,16.44 
2014/4/22,12.51 ,13.19 ,14.61 ,16.29 
2014/4/23,12.67 ,13.27 ,14.83 ,16.36 
2014/4/24,13.27 ,13.32 ,14.77 ,16.32 
2014/4/25,13.94 ,14.06 ,15.18 ,16.64 
2014/4/28,14.08 ,13.97 ,14.93 ,16.45 
2014/4/29,13.63 ,13.71 ,14.83 ,16.31 
2014/4/30,12.73 ,13.41 ,14.70 ,16.17 
2014/5/1,12.58 ,13.25 ,14.67 ,16.20 
2014/5/2,11.23 ,12.91 ,14.68 ,16.38 
2014/5/5,12.25 ,13.29 ,14.75 ,16.41 
2014/5/6,13.19 ,13.80 ,15.12 ,16.62 
