Date,VXST_9d,VIX_30d,VXV_3m,VXM_6m
2013/9/30,17.73 ,16.60 ,16.80 ,18.09 
2013/10/1,14.67 ,15.54 ,16.13 ,17.37 
2013/10/2,15.81 ,16.60 ,16.81 ,17.79 
2013/10/3,17.58 ,17.67 ,17.70 ,18.45 
2013/10/4,16.62 ,16.74 ,17.21 ,18.08 
2013/10/7,20.18 ,19.41 ,19.07 ,19.67 
2013/10/8,21.87 ,20.34 ,19.84 ,20.15 
2013/10/9,20.39 ,19.60 ,19.29 ,19.97 
2013/10/10,17.34 ,16.48 ,17.21 ,18.23 
2013/10/11,16.80 ,15.72 ,16.57 ,17.80 
2013/10/14,19.10 ,16.07 ,16.92 ,17.90 
2013/10/15,23.54 ,18.66 ,18.41 ,19.14 
2013/10/16,16.18 ,14.71 ,16.26 ,17.71 
2013/10/17,12.93 ,13.48 ,15.44 ,16.91 
2013/10/18,12.91 ,13.04 ,14.92 ,16.37 
2013/10/21,12.79 ,13.16 ,15.14 ,16.54 
2013/10/22,12.73 ,13.33 ,15.02 ,16.61 
2013/10/23,12.37 ,13.42 ,15.11 ,16.71 
2013/10/24,11.95 ,13.20 ,14.90 ,16.53 
2013/10/25,11.59 ,13.09 ,14.87 ,16.50 
2013/10/28,12.03 ,13.31 ,14.87 ,16.61 
2013/10/29,12.57 ,13.41 ,15.03 ,16.74 
2013/10/30,12.98 ,13.65 ,15.13 ,16.83 
2013/10/31,12.62 ,13.75 ,15.25 ,16.87 
2013/11/1,12.10 ,13.28 ,15.06 ,16.96 
2013/11/4,11.81 ,12.93 ,14.68 ,16.76 
2013/11/5,12.14 ,13.27 ,14.92 ,16.94 
2013/11/6,11.61 ,12.67 ,14.66 ,16.77 
2013/11/7,13.19 ,13.91 ,15.36 ,17.27 
2013/11/8,11.97 ,12.90 ,14.63 ,16.71 
2013/11/11,12.63 ,12.53 ,14.73 ,16.80 
2013/11/12,13.02 ,12.82 ,14.88 ,16.97 
2013/11/13,12.75 ,12.52 ,14.83 ,17.02 
2013/11/14,11.69 ,12.37 ,14.88 ,17.01 
2013/11/15,11.16 ,12.19 ,14.80 ,16.91 
2013/11/18,11.80 ,13.10 ,14.93 ,17.08 
2013/11/19,11.87 ,13.39 ,15.25 ,17.38 
2013/11/20,12.03 ,13.40 ,14.99 ,17.21 
2013/11/21,10.71 ,12.66 ,14.52 ,16.77 
2013/11/22,10.34 ,12.26 ,14.15 ,16.42 
2013/11/25,11.52 ,12.79 ,14.43 ,16.62 
2013/11/26,11.55 ,12.81 ,14.55 ,16.68 
2013/11/27,11.66 ,12.98 ,14.60 ,16.65 
2013/11/28,11.66 ,12.98 ,14.60 ,16.65 
2013/11/29,13.59 ,13.70 ,15.03 ,16.86 
2013/12/2,14.30 ,14.23 ,15.19 ,17.05 
2013/12/3,14.68 ,14.55 ,15.49 ,17.27 
2013/12/4,14.71 ,14.70 ,15.57 ,17.30 
2013/12/5,15.42 ,15.08 ,15.78 ,17.32 
2013/12/6,12.70 ,13.79 ,14.95 ,16.61 
2013/12/9,13.52 ,13.49 ,14.93 ,16.58 
2013/12/10,14.65 ,13.91 ,15.22 ,16.75 
2013/12/11,17.36 ,15.42 ,15.99 ,17.31 
2013/12/12,16.61 ,15.54 ,16.12 ,17.36 
2013/12/13,17.23 ,15.76 ,16.27 ,17.51 
2013/12/16,17.12 ,16.03 ,16.39 ,17.68 
2013/12/17,17.06 ,16.21 ,16.50 ,17.70 
2013/12/18,12.95 ,13.80 ,14.99 ,16.67 
2013/12/19,12.78 ,14.15 ,15.28 ,16.88 
2013/12/20,12.73 ,13.79 ,15.01 ,16.63 
2013/12/23,12.23 ,13.04 ,14.52 ,16.37 
2013/12/24,11.11 ,12.48 ,14.24 ,16.12 
2013/12/25,11.11 ,12.48 ,14.24 ,16.12 
2013/12/26,10.92 ,12.33 ,14.03 ,16.03 
2013/12/27,11.48 ,12.46 ,13.98 ,16.05 
2013/12/30,12.99 ,13.56 ,14.77 ,16.46 
2013/12/31,13.75 ,13.72 ,14.77 ,16.31 
