Date,VXST_9d,VIX_30d,VXV_3m,VXM_6m
2013/1/1,20.27 ,18.02 ,18.73 ,20.25 
2013/1/2,12.94 ,14.68 ,16.69 ,18.63 
2013/1/3,13.30 ,14.56 ,16.74 ,18.49 
2013/1/4,11.62 ,13.83 ,16.34 ,18.17 
2013/1/7,11.99 ,13.79 ,16.45 ,18.25 
2013/1/8,11.76 ,13.62 ,16.45 ,18.25 
2013/1/9,11.60 ,13.81 ,16.50 ,18.36 
2013/1/10,11.17 ,13.49 ,16.12 ,17.97 
2013/1/11,11.22 ,13.36 ,16.01 ,17.89 
2013/1/14,12.15 ,13.52 ,16.29 ,18.05 
2013/1/15,12.05 ,13.55 ,16.33 ,18.02 
2013/1/16,11.83 ,13.42 ,16.24 ,17.96 
2013/1/17,12.39 ,13.57 ,16.08 ,17.76 
2013/1/18,10.90 ,12.46 ,15.29 ,17.21 
2013/1/21,10.90 ,12.46 ,15.29 ,17.21 
2013/1/22,11.21 ,12.43 ,14.72 ,16.60 
2013/1/23,11.04 ,12.46 ,14.50 ,16.27 
2013/1/24,11.12 ,12.69 ,14.67 ,16.46 
2013/1/25,11.63 ,12.89 ,14.66 ,16.35 
2013/1/28,13.01 ,13.57 ,15.07 ,16.50 
2013/1/29,13.16 ,13.31 ,14.74 ,16.27 
2013/1/30,14.24 ,14.32 ,15.42 ,16.84 
2013/1/31,14.03 ,14.28 ,15.55 ,17.25 
2013/2/1,10.85 ,12.90 ,14.79 ,16.50 
2013/2/4,14.25 ,14.67 ,15.79 ,17.23 
2013/2/5,12.78 ,13.72 ,15.30 ,16.81 
2013/2/6,12.04 ,13.41 ,15.14 ,16.77 
2013/2/7,12.03 ,13.50 ,15.19 ,16.83 
2013/2/8,11.38 ,13.02 ,14.80 ,16.45 
2013/2/11,11.86 ,12.94 ,14.68 ,16.39 
2013/2/12,11.05 ,12.64 ,14.53 ,16.18 
2013/2/13,11.09 ,12.98 ,14.63 ,16.35 
2013/2/14,10.81 ,12.66 ,14.43 ,16.16 
2013/2/15,10.79 ,12.46 ,14.26 ,16.12 
2013/2/18,10.79 ,12.46 ,14.26 ,16.12 
2013/2/19,11.43 ,12.31 ,13.99 ,15.83 
2013/2/20,15.36 ,14.68 ,15.41 ,16.82 
2013/2/21,16.01 ,15.22 ,15.71 ,17.05 
2013/2/22,14.58 ,14.17 ,14.98 ,16.53 
2013/2/25,21.87 ,18.99 ,17.94 ,18.61 
2013/2/26,18.11 ,16.87 ,17.25 ,18.16 
2013/2/27,14.91 ,14.73 ,15.66 ,17.03 
2013/2/28,15.99 ,15.51 ,16.18 ,17.40 
2013/3/1,14.55 ,15.36 ,16.29 ,17.51 
2013/3/4,12.93 ,14.01 ,15.42 ,16.92 
2013/3/5,12.54 ,13.48 ,14.95 ,16.54 
2013/3/6,12.22 ,13.53 ,15.03 ,16.54 
2013/3/7,11.69 ,13.06 ,14.74 ,16.38 
2013/3/8,10.77 ,12.59 ,14.52 ,16.20 
2013/3/11,11.25 ,11.56 ,14.30 ,15.94 
2013/3/12,12.48 ,12.27 ,14.58 ,16.12 
2013/3/13,11.42 ,11.83 ,14.51 ,16.21 
2013/3/14,11.08 ,11.30 ,14.10 ,15.81 
2013/3/15,10.50 ,11.30 ,14.26 ,16.10 
2013/3/18,13.46 ,13.36 ,15.39 ,16.91 
2013/3/19,14.84 ,14.39 ,15.71 ,17.20 
2013/3/20,13.65 ,12.67 ,14.93 ,16.62 
2013/3/21,16.01 ,13.99 ,15.53 ,17.12 
2013/3/22,15.23 ,13.57 ,15.26 ,16.96 
2013/3/25,14.22 ,13.74 ,15.30 ,17.01 
2013/3/26,11.75 ,12.77 ,14.75 ,16.59 
2013/3/27,12.29 ,13.15 ,14.93 ,16.76 
2013/3/28,11.03 ,12.70 ,14.64 ,16.61 
2013/3/29,11.03 ,12.70 ,14.64 ,16.61 
2013/4/1,12.97 ,13.58 ,15.28 ,17.03 
2013/4/2,11.62 ,12.78 ,14.71 ,16.59 
2013/4/3,14.30 ,14.21 ,15.49 ,17.14 
2013/4/4,13.62 ,13.89 ,15.30 ,17.00 
2013/4/5,13.59 ,13.92 ,15.38 ,17.18 
2013/4/8,13.15 ,13.19 ,14.71 ,16.69 
2013/4/9,12.42 ,12.84 ,14.46 ,16.50 
2013/4/10,11.47 ,12.36 ,14.12 ,16.14 
2013/4/11,11.05 ,12.24 ,14.17 ,16.17 
2013/4/12,11.37 ,12.06 ,14.02 ,16.15 
2013/4/15,20.67 ,17.27 ,17.03 ,18.43 
2013/4/16,14.41 ,13.96 ,15.10 ,16.72 
2013/4/17,18.77 ,16.51 ,16.93 ,18.16 
2013/4/18,19.30 ,17.56 ,17.52 ,18.65 
2013/4/19,15.25 ,14.97 ,16.17 ,17.92 
2013/4/22,14.85 ,14.39 ,15.66 ,17.40 
2013/4/23,13.09 ,13.48 ,14.83 ,16.66 
2013/4/24,13.32 ,13.61 ,14.97 ,16.71 
2013/4/25,13.00 ,13.62 ,14.96 ,16.58 
2013/4/26,12.85 ,13.61 ,14.89 ,16.54 
2013/4/29,13.50 ,13.71 ,14.92 ,16.57 
2013/4/30,13.37 ,13.52 ,14.78 ,16.48 
2013/5/1,15.03 ,14.49 ,15.61 ,16.95 
2013/5/2,13.03 ,13.59 ,14.87 ,16.55 
2013/5/3,11.68 ,12.85 ,14.45 ,16.22 
2013/5/6,11.64 ,12.66 ,14.31 ,16.04 
2013/5/7,11.73 ,12.83 ,14.35 ,16.12 
2013/5/8,11.27 ,12.66 ,14.40 ,16.12 
2013/5/9,11.97 ,13.13 ,14.81 ,16.52 
2013/5/10,11.15 ,12.59 ,14.71 ,16.55 
2013/5/13,13.08 ,12.55 ,15.05 ,16.86 
2013/5/14,13.33 ,12.77 ,14.98 ,16.75 
2013/5/15,13.63 ,12.81 ,15.05 ,16.93 
2013/5/16,13.27 ,13.07 ,15.45 ,17.22 
2013/5/17,12.60 ,12.45 ,15.17 ,17.03 
2013/5/20,13.14 ,13.02 ,15.31 ,17.14 
2013/5/21,13.56 ,13.37 ,15.78 ,17.51 
2013/5/22,14.05 ,13.82 ,15.82 ,17.52 
2013/5/23,14.07 ,14.07 ,16.00 ,17.72 
2013/5/24,13.19 ,13.99 ,15.92 ,17.62 
2013/5/27,13.19 ,13.99 ,15.92 ,17.62 
2013/5/28,15.60 ,14.48 ,15.87 ,17.51 
2013/5/29,15.76 ,14.83 ,16.15 ,17.71 
2013/5/30,14.69 ,14.53 ,16.01 ,17.61 
2013/5/31,16.70 ,16.30 ,17.13 ,18.41 
2013/6/3,17.24 ,16.28 ,17.22 ,18.45 
2013/6/4,16.89 ,16.27 ,17.26 ,18.58 
2013/6/5,18.54 ,17.50 ,18.00 ,19.12 
2013/6/6,17.25 ,16.63 ,17.55 ,18.80 
2013/6/7,14.21 ,15.14 ,16.72 ,18.27 
2013/6/10,15.16 ,15.44 ,16.73 ,18.16 
2013/6/11,17.47 ,17.07 ,17.91 ,19.12 
2013/6/12,19.10 ,18.59 ,19.07 ,19.97 
2013/6/13,15.62 ,16.41 ,17.83 ,19.15 
2013/6/14,16.90 ,17.15 ,18.30 ,19.46 
2013/6/17,17.24 ,16.80 ,17.99 ,19.20 
2013/6/18,17.62 ,16.61 ,17.75 ,18.94 
2013/6/19,17.62 ,16.64 ,17.78 ,19.02 
2013/6/20,23.40 ,20.49 ,20.34 ,20.68 
2013/6/21,20.56 ,18.90 ,19.49 ,20.21 
2013/6/24,22.32 ,20.11 ,20.73 ,21.32 
2013/6/25,18.98 ,18.47 ,19.67 ,20.71 
2013/6/26,17.02 ,17.21 ,18.82 ,20.11 
2013/6/27,16.10 ,16.86 ,18.56 ,19.98 
2013/6/28,15.98 ,16.86 ,18.39 ,19.79 
2013/7/1,16.07 ,16.37 ,17.92 ,19.39 
2013/7/2,15.56 ,16.44 ,18.02 ,19.39 
2013/7/3,15.94 ,16.20 ,17.81 ,19.18 
2013/7/4,15.94 ,16.20 ,17.81 ,19.18 
2013/7/5,13.08 ,14.89 ,16.88 ,18.48 
2013/7/8,14.22 ,14.78 ,16.41 ,18.04 
2013/7/9,13.45 ,14.35 ,15.91 ,17.55 
2013/7/10,13.51 ,14.21 ,15.77 ,17.48 
2013/7/11,13.04 ,14.01 ,15.50 ,17.29 
2013/7/12,12.33 ,13.84 ,15.65 ,17.36 
2013/7/15,13.05 ,13.79 ,15.62 ,17.26 
2013/7/16,13.62 ,14.42 ,16.01 ,17.58 
2013/7/17,12.57 ,13.78 ,15.56 ,17.25 
2013/7/18,12.48 ,13.77 ,15.56 ,17.25 
2013/7/19,11.61 ,12.54 ,15.04 ,17.09 
2013/7/22,11.79 ,12.29 ,14.69 ,16.82 
2013/7/23,12.58 ,12.66 ,14.88 ,16.93 
2013/7/24,13.13 ,13.18 ,15.19 ,17.23 
2013/7/25,12.82 ,12.97 ,15.00 ,17.03 
2013/7/26,11.97 ,12.72 ,14.80 ,16.87 
2013/7/29,13.23 ,13.39 ,15.11 ,17.21 
2013/7/30,13.53 ,13.39 ,14.98 ,17.01 
2013/7/31,13.33 ,13.45 ,14.92 ,16.81 
2013/8/1,12.25 ,12.94 ,14.55 ,16.40 
2013/8/2,10.20 ,11.98 ,14.03 ,16.03 
2013/8/5,10.61 ,11.84 ,13.86 ,15.90 
2013/8/6,11.80 ,12.72 ,14.56 ,16.45 
2013/8/7,11.95 ,12.98 ,14.81 ,16.71 
2013/8/8,11.52 ,12.73 ,14.67 ,16.49 
2013/8/9,13.23 ,13.41 ,15.10 ,16.75 
2013/8/12,13.68 ,12.81 ,15.17 ,16.87 
2013/8/13,12.67 ,12.31 ,14.86 ,16.63 
2013/8/14,13.28 ,13.04 ,15.24 ,16.94 
2013/8/15,16.43 ,14.73 ,16.24 ,17.59 
2013/8/16,15.71 ,14.37 ,15.94 ,17.38 
2013/8/19,15.49 ,15.10 ,16.40 ,17.68 
2013/8/20,14.27 ,14.91 ,16.31 ,17.55 
2013/8/21,15.21 ,15.94 ,16.79 ,17.91 
2013/8/22,12.99 ,14.76 ,15.99 ,17.35 
2013/8/23,11.82 ,13.98 ,15.55 ,17.06 
2013/8/26,13.93 ,14.99 ,16.21 ,17.50 
2013/8/27,16.04 ,16.77 ,17.68 ,18.69 
2013/8/28,15.47 ,16.49 ,17.62 ,18.76 
2013/8/29,15.41 ,16.81 ,17.90 ,18.96 
2013/8/30,15.87 ,17.01 ,18.05 ,19.18 
2013/9/2,15.87 ,17.01 ,18.05 ,19.18 
2013/9/3,15.97 ,16.61 ,17.64 ,18.75 
2013/9/4,14.28 ,15.88 ,17.30 ,18.41 
2013/9/5,14.38 ,15.77 ,17.14 ,18.38 
2013/9/6,14.57 ,15.85 ,17.17 ,18.34 
2013/9/9,15.01 ,15.63 ,16.83 ,17.95 
2013/9/10,13.35 ,14.53 ,16.11 ,17.42 
2013/9/11,12.31 ,13.82 ,15.61 ,16.97 
2013/9/12,13.03 ,14.29 ,15.85 ,17.18 
2013/9/13,12.60 ,14.16 ,15.70 ,17.13 
2013/9/16,14.04 ,14.38 ,15.58 ,16.99 
2013/9/17,14.49 ,14.53 ,15.66 ,17.01 
2013/9/18,13.40 ,13.59 ,15.18 ,16.62 
2013/9/19,12.03 ,13.16 ,15.02 ,16.60 
2013/9/20,12.42 ,13.12 ,15.32 ,17.04 
2013/9/23,13.97 ,14.31 ,15.92 ,17.28 
2013/9/24,13.75 ,14.08 ,15.64 ,17.14 
2013/9/25,13.79 ,14.01 ,15.56 ,17.02 
2013/9/26,14.12 ,14.06 ,15.41 ,16.90 
2013/9/27,16.22 ,15.46 ,16.04 ,17.30 
