Date,VXST_9d,VIX_30d,VXV_3m,VXM_6m
2011/5/30,14.79 ,15.98 ,18.13 ,20.63 
2011/5/31,14.89 ,15.45 ,17.56 ,20.01 
2011/6/1,19.10 ,18.30 ,19.36 ,21.41 
2011/6/2,18.93 ,18.09 ,19.32 ,21.29 
2011/6/3,17.99 ,17.95 ,19.47 ,21.59 
2011/6/6,19.35 ,18.49 ,19.96 ,21.81 
2011/6/7,18.41 ,18.07 ,19.50 ,21.60 
2011/6/8,19.02 ,18.79 ,19.95 ,21.86 
2011/6/9,18.11 ,17.77 ,19.26 ,21.34 
2011/6/10,18.92 ,18.86 ,20.11 ,25.10 
2011/6/13,20.28 ,19.61 ,20.44 ,22.08 
2011/6/14,18.44 ,18.26 ,19.43 ,21.44 
2011/6/15,22.03 ,21.32 ,21.38 ,22.91 
2011/6/16,24.63 ,22.73 ,22.61 ,24.00 
2011/6/17,23.13 ,21.85 ,22.44 ,23.82 
2011/6/20,20.74 ,19.99 ,21.22 ,23.07 
2011/6/21,20.18 ,18.86 ,20.50 ,22.46 
2011/6/22,18.64 ,18.52 ,20.72 ,22.66 
2011/6/23,20.07 ,19.29 ,20.93 ,22.82 
2011/6/24,22.47 ,21.10 ,21.92 ,23.62 
2011/6/27,21.99 ,20.56 ,21.50 ,23.28 
2011/6/28,19.83 ,19.17 ,20.52 ,22.70 
2011/6/29,16.96 ,17.27 ,19.42 ,21.85 
2011/6/30,15.14 ,16.52 ,18.91 ,20.97 
2011/7/1,15.29 ,15.87 ,17.93 ,20.43 
2011/7/4,15.29 ,15.87 ,17.93 ,20.43 
2011/7/5,15.85 ,16.06 ,18.11 ,20.57 
2011/7/6,15.66 ,16.34 ,18.41 ,20.62 
2011/7/7,15.29 ,15.95 ,17.77 ,20.12 
2011/7/8,15.56 ,15.95 ,17.96 ,20.35 
2011/7/11,20.14 ,18.39 ,19.98 ,21.86 
2011/7/12,21.50 ,19.87 ,20.93 ,22.45 
2011/7/13,20.65 ,19.91 ,20.85 ,22.47 
2011/7/14,22.19 ,20.80 ,21.59 ,23.03 
2011/7/15,19.82 ,19.53 ,20.94 ,22.72 
2011/7/18,22.13 ,20.95 ,21.84 ,23.33 
2011/7/19,19.69 ,19.21 ,20.50 ,22.43 
2011/7/20,19.75 ,19.09 ,20.37 ,22.34 
2011/7/21,17.54 ,17.56 ,19.20 ,21.39 
2011/7/22,16.96 ,17.52 ,19.20 ,21.57 
2011/7/25,20.40 ,19.35 ,20.26 ,22.06 
2011/7/26,20.83 ,20.23 ,20.89 ,22.35 
2011/7/27,24.41 ,22.98 ,22.69 ,23.55 
2011/7/28,27.52 ,23.74 ,22.95 ,23.62 
2011/7/29,30.35 ,25.25 ,22.91 ,23.63 
2011/8/1,26.85 ,23.66 ,22.38 ,23.03 
2011/8/2,27.78 ,24.79 ,23.60 ,24.01 
2011/8/3,24.70 ,23.38 ,23.12 ,23.85 
2011/8/4,39.89 ,31.66 ,28.56 ,27.88 
2011/8/5,37.58 ,32.00 ,29.59 ,28.81 
2011/8/8,68.00 ,48.00 ,38.10 ,35.00 
2011/8/9,43.38 ,35.06 ,31.07 ,29.97 
2011/8/10,56.66 ,42.99 ,36.58 ,33.90 
2011/8/11,46.98 ,39.00 ,33.82 ,32.13 
2011/8/12,38.41 ,36.36 ,32.75 ,31.19 
2011/8/15,32.94 ,31.87 ,30.08 ,29.58 
2011/8/16,33.09 ,32.85 ,30.44 ,29.82 
