Date,Open,High,Low,Close,Volume,Adj Close
2012-12-12,99.400002,100.00,98.599998,99.199997,10656000,23.853409
2012-12-11,98.00,99.50,97.839996,99.410004,9234400,23.903907
2012-12-10,98.669998,99.309998,97.980003,98.080002,7276800,23.584097
2012-12-07,98.910004,98.989998,97.730003,98.589996,7418000,23.70673
2012-12-06,97.470001,98.68,97.230003,98.419998,9092000,23.665852
2012-12-05,97.919998,98.080002,96.610001,97.68,6764400,23.386922
2012-12-04,97.629997,98.379997,97.230003,97.669998,7028400,23.384528
2012-12-03,97.660004,98.910004,97.089996,97.559998,8688000,23.358191
2012-11-30,98.459999,98.519997,96.910004,97.480003,12670000,23.339038
2012-11-29,99.580002,100.330002,98.800003,98.970001,9744000,23.695779
2012-11-28,96.599998,99.160004,96.599998,99.129997,8613600,23.734086
2012-11-27,96.050003,98.00,96.050003,97.010002,8537200,23.226509
2012-11-26,95.480003,97.68,95.379997,97.660004,12052800,23.382135
2012-11-23,96.00,96.760002,95.879997,96.75,3352400,23.164258
2012-11-21,95.559998,95.830002,94.959999,95.599998,7363600,22.88892
2012-11-20,96.32,96.519997,95.269997,95.610001,9103200,22.891315
2012-11-19,93.489998,96.339996,93.459999,96.32,10462400,23.061306
2012-11-16,91.839996,92.75,91.400002,92.589996,11989200,22.168254
2012-11-15,90.290001,91.220001,90.07,90.830002,7764400,21.746869
2012-11-14,91.959999,91.959999,89.650002,90.599998,13019200,21.691801
2012-11-13,91.169998,92.660004,91.029999,91.470001,7246000,21.9001
2012-11-12,92.50,93.199997,91.980003,92.290001,5979200,22.096428
2012-11-09,91.690002,93.00,91.68,92.309998,7748800,22.101216
2012-11-08,94.449997,94.599998,91.860001,91.860001,10450400,21.993476
2012-11-07,95.720001,95.879997,94.620003,94.650002,7655200,22.661468
2012-11-06,95.25,96.129997,94.75,96.129997,7824800,23.015815
2012-11-05,94.550003,95.480003,94.349998,95.260002,5872800,22.807517
2012-11-02,95.699997,96.739998,94.489998,94.540001,7264400,22.635132
2012-11-01,91.900002,95.599998,91.900002,95.349998,14254800,22.829064
2012-10-31,91.050003,91.790001,90.779999,91.379997,9128800,21.878551
2012-10-26,91.080002,91.349998,90.32,91.150002,12444000,21.823485
2012-10-25,93.050003,93.50,91.129997,91.309998,10019600,21.861792
2012-10-24,93.739998,93.809998,92.459999,92.889999,9947600,22.240082
2012-10-23,93.839996,94.25,92.75,92.82,9384400,22.223322
2012-10-22,95.419998,96.349998,93.82,94.480003,8992800,22.620767
2012-10-19,97.540001,98.099998,96.099998,96.449997,9341200,23.09243
2012-10-18,97.699997,98.07,97.019997,97.57,7797600,23.360586
2012-10-17,96.910004,98.00,96.910004,97.57,7126000,23.360586
2012-10-16,96.279999,97.610001,96.139999,97.239998,10012000,23.281575
2012-10-15,94.669998,95.82,94.379997,95.610001,7527600,22.891315
2012-10-12,95.040001,95.459999,94.330002,94.419998,6537200,22.6064
2012-10-11,94.620003,95.470001,94.529999,94.900002,7937600,22.721324
2012-10-10,94.860001,95.459999,94.150002,94.220001,7208800,22.558516
2012-10-09,94.910004,95.690002,94.400002,94.480003,9778800,22.620767
2012-10-08,95.010002,95.790001,94.75,94.989998,5638000,22.742872
2012-10-05,96.139999,96.529999,94.860001,95.220001,9247200,22.79794
2012-10-04,94.330002,95.959999,94.00,95.889999,13058400,22.958353
2012-10-03,94.910004,95.540001,93.620003,93.800003,14771200,22.457958
2012-10-02,96.059998,96.199997,94.580002,94.949997,11305600,22.733294
2012-10-01,94.910004,96.199997,94.620003,95.550003,11072800,22.87695
2012-09-28,93.059998,96.18,92.790001,94.910004,27354400,22.723719
2012-09-27,95.800003,96.639999,94.650002,96.00,19398000,22.98469
2012-09-26,94.959999,96.209999,94.330002,95.489998,11866000,22.862584
2012-09-25,95.190002,96.349998,95.00,95.080002,15992400,22.764421
2012-09-24,95.599998,96.349998,94.00,95.32,11824800,22.821882
2012-09-21,97.540001,97.540001,96.199997,96.519997,13657600,23.10919
2012-09-20,98.400002,98.400002,96.379997,96.720001,12850400,23.157076
2012-09-19,100.230003,100.50,97.599998,97.660004,18669600,23.382135
2012-09-18,97.699997,98.25,97.07,97.720001,13601200,23.3965
2012-09-17,96.32,98.059998,96.080002,97.970001,9379200,23.456355
2012-09-14,98.919998,99.099998,95.889999,96.639999,22890400,23.137921
2012-09-13,99.349998,99.800003,98.269997,99.199997,17326000,23.750846
2012-09-12,99.839996,100.919998,99.400002,100.839996,9198000,24.143501
2012-09-11,99.43,100.190002,99.110001,99.68,9840000,23.86577
2012-09-10,99.25,100.900002,99.029999,100.040001,8677600,23.951963
2012-09-07,99.32,99.75,98.879997,99.290001,6991600,23.772395
2012-09-06,97.75,99.550003,97.470001,99.459999,9083600,23.813097
2012-09-05,97.519997,97.779999,96.970001,97.349998,6288000,23.307912
2012-09-04,97.190002,97.889999,96.239998,97.260002,7589200,23.286365
2012-08-31,98.07,98.519997,96.949997,97.360001,8129200,23.310307
2012-08-30,97.889999,98.480003,97.529999,97.75,7020400,23.403682
2012-08-29,98.959999,99.00,98.209999,98.690002,9468000,23.542548
2012-08-28,96.209999,99.290001,95.849998,98.870003,16471600,23.585487
2012-08-27,96.919998,97.25,96.099998,96.43,6921600,23.003423
2012-08-24,95.440002,97.129997,95.440002,96.860001,9764000,23.106
2012-08-23,95.68,95.980003,94.940002,95.449997,6762000,22.769643
2012-08-22,95.779999,95.989998,95.190002,95.769997,6465200,22.845979
2012-08-21,95.93,96.269997,95.160004,95.849998,8553200,22.865064
2012-08-20,96.220001,96.769997,95.589996,95.769997,7441600,22.845979
2012-08-17,95.029999,96.459999,94.830002,96.260002,12295200,22.96287
2012-08-16,94.209999,95.389999,93.43,94.779999,13942800,22.609815
2012-08-15,94.900002,95.68,94.169998,94.220001,10466400,22.476227
2012-08-14,96.120003,96.139999,94.699997,94.910004,10998800,22.640827
2012-08-13,94.309998,95.910004,93.860001,95.849998,6880000,22.865064
2012-08-10,94.650002,94.980003,94.330002,94.50,9284000,22.543021
2012-08-09,95.629997,95.970001,94.919998,95.059998,9914400,22.676608
2012-08-08,95.779999,96.209999,95.199997,95.900002,8274000,22.876992
2012-08-07,95.650002,97.190002,95.650002,96.169998,8313200,22.9414
2012-08-06,94.730003,95.739998,94.650002,95.519997,6321600,22.786341
2012-08-03,93.610001,94.639999,93.379997,94.57,8997200,22.559719
2012-08-02,91.980003,92.989998,91.040001,92.540001,10461600,22.075462
2012-08-01,93.510002,94.330002,92.760002,93.00,9594400,22.185195
2012-07-31,95.040001,95.580002,93.25,93.349998,13070000,22.268687
2012-07-30,96.93,97.75,95.489998,95.849998,9112800,22.865064
2012-07-27,96.82,97.449997,95.639999,97.029999,10419600,23.146553
2012-07-26,94.489998,96.889999,94.290001,96.580002,14765600,23.039206
2012-07-25,93.540001,94.25,93.099998,93.510002,8244800,22.306856
2012-07-24,93.260002,93.93,92.410004,92.959999,8305200,22.175653
2012-07-23,92.050003,93.260002,91.339996,92.849998,8619200,22.149412
2012-07-20,94.709999,95.00,93.050003,93.080002,11975200,22.20428
2012-07-19,95.199997,95.980003,94.110001,95.260002,10861200,22.72432
2012-07-18,92.489998,94.940002,91.980003,94.629997,10964000,22.574032
2012-07-17,92.480003,93.43,91.910004,92.760002,10660000,22.127943
2012-07-16,93.809998,93.889999,92.889999,93.019997,11684800,22.189965
2012-07-13,92.260002,94.290001,92.040001,93.970001,11396400,22.416589
2012-07-12,91.919998,92.239998,90.209999,91.82,14964800,21.903705
2012-07-11,91.669998,92.400002,90.50,92.260002,17389600,22.008668
2012-07-10,90.599998,92.00,90.599998,91.290001,14529200,21.777274
2012-07-09,91.209999,91.699997,90.00,90.279999,13910000,21.536337
2012-07-06,91.610001,92.230003,90.769997,91.379997,16196400,21.798743
2012-07-05,90.699997,92.699997,90.550003,92.199997,22257200,21.994354
2012-07-03,89.370003,90.599998,88.25,90.480003,14998400,21.584049
2012-07-02,88.389999,89.489998,88.029999,88.849998,23501600,21.19521
2012-06-29,87.839996,90.50,85.099998,87.779999,86339600,20.939961
2012-06-28,97.540001,98.480003,95.839996,96.889999,23916800,23.113156
2012-06-27,98.93,99.610001,97.50,98.110001,11222400,23.404188
2012-06-26,97.760002,98.860001,97.300003,98.449997,9580000,23.485294
2012-06-25,98.379997,98.739998,96.699997,97.459999,11873200,23.24913
2012-06-22,98.910004,99.519997,98.279999,99.400002,15357200,23.711918
2012-06-21,101.260002,102.459999,98.529999,98.660004,16054400,23.535392
2012-06-20,102.559998,102.720001,100.629997,101.199997,12839600,24.141308
2012-06-19,101.440002,102.650002,101.330002,101.540001,8638400,24.222416
2012-06-18,101.529999,101.730003,100.129997,101.400002,12656800,24.189019
2012-06-15,100.25,102.00,99.559998,101.75,16830800,24.272512
2012-06-14,103.459999,103.459999,99.360001,100.019997,24052400,23.859819
2012-06-13,107.209999,107.529999,101.279999,102.220001,22770400,24.384631
2012-06-12,107.589996,108.660004,106.739998,107.599998,10159600,25.668032
2012-06-11,109.120003,109.910004,107.400002,107.459999,6257600,25.634635
2012-06-08,107.379997,108.769997,106.309998,108.639999,7254400,25.916124
2012-06-07,107.940002,108.389999,106.25,107.360001,7079600,25.61078
2012-06-06,106.089996,107.099998,105.730003,107.07,7794000,25.5416
2012-06-05,104.300003,105.760002,104.00,105.510002,9183200,25.169462
2012-06-04,104.550003,105.120003,103.139999,104.699997,10202000,24.976235
2012-06-01,106.290001,106.550003,104.18,104.599998,9376400,24.95238
2012-05-31,108.50,108.849998,106.660004,108.18,10796800,25.806391
2012-05-30,109.580002,110.330002,108.230003,108.610001,10357200,25.82309
2012-05-29,109.510002,110.919998,109.139999,110.919998,8734800,26.372315
2012-05-25,107.919998,109.190002,107.620003,108.790001,6687600,25.865887
2012-05-24,107.669998,108.639999,106.779999,107.480003,8629600,25.554422
2012-05-23,107.769997,109.00,106.18,107.519997,8513200,25.563931
2012-05-22,107.239998,109.150002,107.199997,108.449997,10214000,25.785048
2012-05-21,105.309998,107.360001,105.309998,107.230003,9034400,25.494982
2012-05-18,105.400002,107.779999,105.080002,105.440002,15844800,25.069392
2012-05-17,106.779999,107.00,104.269997,104.339996,9444400,24.807855
2012-05-16,107.739998,108.919998,106.220001,107.00,9965200,25.440297
2012-05-15,107.309998,109.010002,107.010002,107.220001,7127600,25.492604
2012-05-14,107.650002,108.459999,106.940002,107.470001,5636400,25.552044
2012-05-11,107.199997,109.300003,106.660004,108.260002,6328400,25.739875
2012-05-10,109.029999,109.510002,107.239998,107.559998,9458800,25.573442
2012-05-09,107.43,108.879997,107.080002,108.150002,9026000,25.713721
2012-05-08,109.800003,110.150002,106.559998,108.730003,14058800,25.851622
2012-05-07,111.400002,112.300003,111.199997,111.419998,6864000,26.491195
2012-05-04,113.900002,114.050003,111.540001,111.809998,7205600,26.583921
2012-05-03,114.209999,114.809998,113.519997,114.400002,10340800,27.19972
2012-05-02,111.040001,114.559998,111.040001,114.279999,10581200,27.171188
2012-05-01,111.910004,112.00,110.50,111.300003,10164000,26.462665
2012-04-30,111.00,112.00,111.00,111.870003,9552400,26.598188
2012-04-27,110.089996,111.559998,109.809998,110.639999,9349200,26.305742
2012-04-26,109.029999,110.75,108.730003,110.349998,6228400,26.236792
2012-04-25,107.169998,109.059998,106.93,109.029999,8388400,25.922949
2012-04-24,108.989998,109.760002,106.339996,106.75,13254400,25.380857
2012-04-23,109.830002,109.980003,108.669998,109.75,6355200,26.094136
2012-04-20,109.730003,111.440002,109.730003,110.769997,9299600,26.33665
2012-04-19,110.629997,110.949997,109.029999,109.610001,8027600,26.06085
2012-04-18,109.339996,110.949997,109.050003,110.559998,8174800,26.286721
2012-04-17,109.860001,110.00,109.199997,109.830002,5772000,26.113157
2012-04-16,109.07,109.879997,108.68,109.400002,7135200,26.010921
2012-04-13,108.849998,109.599998,108.279999,109.169998,2622000,25.956235
2012-04-12,108.139999,108.699997,107.169998,108.650002,11554800,25.832601
2012-04-11,107.699997,108.769997,107.470001,108.25,12034800,25.737497
2012-04-10,110.480003,110.50,105.93,106.459999,16864400,25.311906
2012-04-09,108.889999,111.00,108.510002,110.690002,11309600,26.317631
2012-04-05,109.029999,110.529999,109.00,110.389999,8787600,26.246302
2012-04-04,109.150002,109.889999,108.68,109.489998,8866800,26.032318
2012-04-03,108.809998,109.650002,108.300003,109.370003,4644000,26.003788
2012-04-02,108.419998,109.830002,107.989998,109.019997,9788000,25.920571
2012-03-30,108.379997,109.18,107.849998,108.440002,9274800,25.782672
2012-03-29,106.300003,107.989998,106.300003,107.849998,7893200,25.642392
2012-03-28,107.610001,107.93,106.279999,107.230003,9239200,25.494982
2012-03-27,108.709999,109.169998,107.720001,107.879997,10130800,25.649525
2012-03-26,107.879997,108.800003,107.720001,108.550003,12512800,25.808825
2012-03-23,111.209999,111.50,106.07,107.419998,26509200,25.540156
2012-03-22,110.110001,111.629997,109.080002,110.989998,20453600,26.388958
2012-03-21,112.07,112.699997,110.379997,110.440002,15109600,26.258191
2012-03-20,111.730003,112.970001,111.730003,111.739998,10681200,26.567278
2012-03-19,111.900002,112.519997,110.959999,112.129997,10399600,26.660004
2012-03-16,110.739998,111.779999,110.559998,111.220001,14449600,26.443643
2012-03-15,110.830002,111.07,110.309998,110.730003,7297200,26.327142
2012-03-14,110.900002,111.230003,110.160004,110.300003,7452400,26.224905
2012-03-13,110.00,110.839996,109.540001,110.760002,9531200,26.334274
2012-03-12,108.800003,109.919998,108.599998,109.449997,9208000,26.022808
2012-03-09,108.639999,110.150002,108.199997,109.980003,9813600,26.148822
2012-03-08,108.129997,108.50,107.660004,107.900002,4564800,25.654281
2012-03-07,107.459999,108.150002,107.300003,107.580002,7177600,25.578198
2012-03-06,108.559998,109.220001,106.970001,107.339996,7887200,25.521134
2012-03-05,108.699997,109.669998,108.300003,109.239998,7173200,25.972878
2012-03-02,108.669998,109.059998,107.949997,108.739998,7011200,25.853998
2012-03-01,108.889999,108.980003,108.019997,108.540001,7070400,25.806447
2012-02-29,107.510002,108.279999,106.93,107.919998,7088400,25.573443
2012-02-28,107.410004,107.629997,106.519997,107.43,5047600,25.457329
2012-02-27,105.879997,107.709999,105.540001,107.169998,6077200,25.395718
2012-02-24,106.110001,106.599998,105.629997,106.290001,4675200,25.187188
2012-02-23,105.919998,106.699997,105.540001,106.139999,5860400,25.151642
2012-02-22,105.059998,106.239998,104.980003,105.730003,6237200,25.054487
2012-02-21,106.589996,107.18,104.709999,104.949997,7308800,24.869651
2012-02-17,106.739998,107.480003,106.279999,106.68,6957200,25.279604
2012-02-16,106.470001,107.43,105.550003,106.160004,6658000,25.156383
2012-02-15,106.949997,107.629997,106.309998,106.599998,9935200,25.260647
2012-02-14,104.790001,106.639999,104.290001,106.629997,9526000,25.267755
2012-02-13,105.800003,105.93,104.620003,105.220001,5875200,24.933633
2012-02-10,105.07,105.589996,104.760002,105.410004,6210000,24.978658
2012-02-09,105.75,106.18,105.220001,105.760002,5847600,25.061595
2012-02-08,104.519997,106.660004,104.519997,105.93,11142800,25.101879
2012-02-07,103.220001,104.699997,102.959999,104.230003,5231200,24.699037
2012-02-06,103.040001,103.860001,102.68,103.459999,6230400,24.516571
2012-02-03,103.50,104.00,103.099998,103.50,13192000,24.52605
2012-02-02,104.00,104.190002,102.57,102.82,9372800,24.364913
2012-02-01,104.410004,104.830002,103.739998,103.75,10000400,24.585292
2012-01-31,104.57,104.940002,103.459999,103.989998,24751600,24.642163
2012-01-30,101.449997,104.150002,100.870003,103.389999,11892000,24.499984
2012-01-27,102.169998,102.629997,101.50,102.110001,6934000,24.196667
2012-01-26,103.00,103.220001,101.790001,102.300003,7528000,24.241691
2012-01-25,101.919998,103.290001,101.889999,103.209999,11383600,24.45733
2012-01-24,101.339996,102.379997,101.019997,102.209999,6564400,24.220363
2012-01-23,101.919998,102.970001,101.169998,101.559998,8329600,24.066334
2012-01-20,101.550003,102.00,101.019997,101.760002,8949600,24.113729
2012-01-19,100.739998,101.970001,100.519997,101.580002,9158000,24.071075
2012-01-18,98.809998,101.120003,98.699997,100.860001,12278800,23.900458
2012-01-17,98.699997,99.440002,98.050003,99.239998,8242000,23.516572
2012-01-13,98.389999,98.93,98.040001,98.300003,6534000,23.293824
2012-01-12,98.290001,99.139999,97.739998,99.099998,7516400,23.483397
2012-01-11,98.269997,98.599998,97.790001,98.139999,7002800,23.255909
2012-01-10,98.830002,98.93,97.68,98.470001,9812400,23.334108
2012-01-09,98.099998,98.93,97.699997,98.349998,10045600,23.305672
2012-01-06,97.93,98.50,97.519997,97.989998,7760800,23.220363
2012-01-05,97.790001,98.580002,97.00,98.160004,8393200,23.260649
2012-01-04,96.709999,98.75,96.510002,98.220001,9440800,23.274867
2012-01-03,97.370003,97.989998,96.699997,96.809998,10944400,22.940743
2011-12-30,97.389999,97.540001,96.370003,96.370003,6609200,22.836479
