Date;VSMI01M;VSMI02M;VSMI03M;VSMI01Q;VSMI02Q;VSMI03Q
01.06.12;20.6637;22.1046;21.9997;21.7559;23.2948;18.6718
01.07.12;14.9075;15.0134;16.1684;18.336;16.4294;17.5653
01.08.12;14.9999;15.5519;15.9806;17.2423;16.5402;17.5707
01.09.12;15.9178;16.6055;16.9782;18.1405;17.6418;18.7332
01.10.12;11.9484;12.3211;14.0759;15.0438;16.3673;14.5151
01.11.12;12.5066;13.4139;12.951;14.8544;15.5429;14.2677
01.12.12;11.9646;11.1012;11.8805;12.9278;13.8131;13.1658
01.01.13;14.4812;14.5936;15.3012;15.9357;14.754;17.2477
01.02.13;13.0927;13.6101;13.5154;13.9369;13.7157;15.1404
01.03.13;13.3553;13.9273;14.095;14.6588;14.1066;15.264
01.04.13;11.6046;13.0132;13.9374;14.4364;15.2175;14.1732
01.05.13;15.6536;15.175;15.1513;15.4675;16.0907;14.9076
01.06.13;20.3803;18.9379;18.0517;18.4918;18.829;17.3711
01.07.13;19.2033;19.0385;19.046;19.2273;17.8031;19.5605
01.08.13;14.6798;15.2738;15.3997;16.4378;16.0429;17.2113
01.09.13;16.2596;16.1353;16.173;16.9403;16.62;17.8971
01.10.13;13.8442;13.5674;14.6026;14.885;15.8551;10.2802
01.11.13;11.8088;13.0762;12.6049;14.1156;15.089;14.3949
01.12.13;12.5553;12.404;13.4943;14.5939;15.4081;14.7885
01.01.14;13.8814;13.6372;14.3814;14.7564;14.0809;15.6197
01.02.14;18.4447;18.0505;16.7262;17.1555;15.7125;17.0878
01.03.14;18.8916;15.9795;14.8234;15.8604;15.0815;16.3738
01.04.14;13.3897;13.2779;14.0696;14.3402;15.323;10.6232
01.05.14;11.0054;12.4877;12.7064;13.7553;14.3613;13.29
01.06.14;10.4319;11.2077;11.5503;12.5501;13.3196;13.2931
01.07.14;10.8005;11.0007;11.7773;13.0028;13.3366;14.6382
01.08.14;14.2016;13.9945;13.5671;14.5964;14.3411;14.8158
01.09.14;12.833;11.9351;12.3271;13.1663;13.567;13.8475
01.10.14;12.9422;12.7424;13.2377;13.4752;14.0186;9.2364
01.11.14;16.0105;16.467;14.6615;15.243;15.7254;14.257
01.12.14;14.1698;13.2056;13.8149;14.943;15.6358;14.7449
01.01.15;17.1789;17.313;17.9614;18.0556;16.7717;18.605
01.02.15;22.9356;21.8237;20.1959;19.9426;19.4494;19.4883
01.03.15;14.2398;14.5292;14.9561;15.5329;15.9845;16.2775
01.04.15;16.575;16.8973;17.4458;17.1607;17.2426;10.4516
01.05.15;17.79;17.6823;16.346;17.2806;17.2829;10.6685
01.06.15;16.8406;15.6167;15.2029;16.0499;16.2131;15.3346
01.07.15;23.737;19.9982;19.7779;18.2409;16.4503;17.677
01.08.15;14.0861;14.8626;14.4768;15.3711;14.7517;15.6778
01.09.15;32.1473;27.0324;23.9682;24.5952;19.609;20.4486
01.10.15;26.4708;23.7621;24.4303;20.1852;22.2243;13.3153
01.11.15;15.8026;17.5097;16.4592;17.2277;18.643;17.1423
01.12.15;21.3824;18.9298;18.1499;18.6268;19.7323;17.9102
01.01.16;17.0337;17.9611;18.4321;19.489;18.1443;19.7717
01.02.16;22.2174;23.0356;21.9825;23.1672;20.7902;22.5291
01.03.16;24.2161;22.5096;21.6678;23.4848;21.2537;23.6031
01.04.16;19.2749;19.0269;20.5077;18.9767;21.3121;13.5402
01.05.16;17.7813;19.7684;19.0688;19.2706;20.6989;18.9972
01.06.16;16.4614;18.8815;18.3418;19.4379;20.6149;19.7039
