Code;VSMI01M;VSMI02M;VSMI03M;VSMI01Q;VSMI02Q;VSMI03Q
04.10.11;36.4335;35.3946;34.7976;30.228;30.8695;18.9616
05.10.11;32.8352;33.4299;33.2876;29.9163;30.7099;19.0285
06.10.11;30.371;30.8593;31.416;29.09;30.2165;19.0284
07.10.11;27.0534;29.1476;29.9889;28.6013;29.5191;19.2452
10.10.11;26.1513;27.199;29.2763;27.86;28.8102;19.2042
11.10.11;25.8412;26.8674;28.2794;27.4246;28.115;19.2979
12.10.11;23.2288;25.212;26.988;26.7283;27.8486;19.2285
13.10.11;26.6997;25.8828;26.9643;26.8922;27.6789;19.2573
14.10.11;21.5043;24.4609;26.4116;26.3969;27.6386;19.4404
17.10.11;29.0965;24.8048;26.2794;26.2389;27.3872;19.1779
18.10.11;28.6408;25.4893;26.4395;26.3009;27.4374;19.2036
19.10.11;26.7456;25.8816;26.5893;26.4347;27.5263;19.283
20.10.11;26.7456;27.9743;27.5038;26.7225;27.7016;19.3211
21.10.11;26.7456;24.8158;26.7116;26.6976;27.4315;19.45
24.10.11;22.4753;24.9864;26.7116;25.76;26.6143;18.9988
25.10.11;22.9664;24.2882;23.7772;25.1632;26.2339;18.8864
26.10.11;23.3515;24.7158;22.8883;25.1637;25.9634;18.8253
27.10.11;19.5114;21.589;21.1701;23.688;25.1018;18.6429
28.10.11;18.3462;20.6175;20.6504;22.6808;23.5249;18.0358
31.10.11;20.2431;22.0028;21.708;22.6342;23.579;17.8667
01.11.11;27.3305;27.338;25.3653;24.4662;24.9999;18.2439
02.11.11;26.3786;26.4525;24.8248;26.0627;26.3406;18.8088
03.11.11;24.5579;25.6279;24.5327;25.6753;26.1143;18.8207
04.11.11;22.7796;25.0605;24.0849;25.088;25.7666;18.5657
07.11.11;24.1693;25.2485;24.185;24.9555;25.5096;18.4907
08.11.11;22.9864;24.6058;23.8329;24.7187;25.2476;18.5177
09.11.11;25.1302;25.3864;24.4327;25.0577;25.8453;18.4453
10.11.11;28.909;26.5799;25.0425;25.3655;26.3352;18.5043
11.11.11;23.8007;24.0442;23.4318;25.281;26.0397;18.7156
14.11.11;24.7833;24.3391;23.6426;24.7576;25.6843;18.6062
15.11.11;24.9504;23.6942;23.2999;24.5675;25.3117;18.5381
16.11.11;23.5261;22.9924;22.9353;24.258;24.941;18.5036
17.11.11;23.5261;23.7459;23.2516;24.4058;25.3644;18.4386
18.11.11;23.5261;23.5614;23.1789;24.7339;25.7749;18.5104
21.11.11;26.8497;25.0332;23.1789;25.8607;27.0794;18.404
22.11.11;25.201;24.4831;25.2059;26.0035;27.0763;18.3543
23.11.11;26.8484;24.9708;25.549;26.2504;27.3705;18.1242
24.11.11;26.4023;25.207;26.0433;26.6158;27.6036;18.0386
25.11.11;25.1763;24.9813;25.5884;26.5237;27.6651;18.1642
28.11.11;23.9378;24.0308;24.911;26.0751;26.7508;18.3173
29.11.11;24.1405;23.0892;24.3225;24.9342;26.0212;18.3287
30.11.11;23.8385;21.1256;22.6291;23.859;25.177;18.2901
01.12.11;22.1216;20.8731;22.2568;23.1845;24.4754;18.1663
02.12.11;21.9528;20.0265;21.7499;22.6562;23.9109;18.0547
05.12.11;22.8755;19.7339;21.4503;22.3666;23.493;17.9518
06.12.11;23.4828;19.8625;21.2295;22.052;23.2684;17.9749
07.12.11;27.0902;20.4697;21.7131;22.5972;23.6955;18.1772
08.12.11;29.8936;21.2035;22.4263;22.898;23.9858;18.3339
09.12.11;23.6015;19.753;22.1289;22.7905;24.0054;18.3775
12.12.11;25.4729;19.9326;22.0519;22.7288;23.6559;18.3048
13.12.11;24.1929;18.5579;21.3087;22.2795;23.482;18.2085
14.12.11;25.4514;18.8531;21.0617;22.1279;23.3278;18.0832
15.12.11;25.4514;18.1394;20.6224;21.5663;23.3735;18.1721
16.12.11;25.4514;17.5181;19.9695;21.3515;23.0902;18.0655
19.12.11;16.864;19.3842;20.9821;22.8475;17.9829;23.8951
20.12.11;16.3977;18.3892;20.015;21.9576;17.5839;23.4099
21.12.11;16.2623;18.0333;19.7466;21.4739;17.4613;23.0603
22.12.11;16.1684;17.9906;19.4129;21.3238;17.5155;22.9591
23.12.11;15.0752;17.4499;19.0971;21.1881;17.4901;22.9362
